"ID","Pri","Target","M","Component","Status","Owner","Summary","OS","Modified","Type","AllLabels","Stars"
"1090940","1","","","UI>Browser>WebAppInstalls","Untriaged","","Multiple task-bar icons ","Linux, Windows, Chrome, Mac","11 days ago","Feature","Proj-Fugu","3"
"1011392","1","","","Test, Blink>Network>WebTransport","Started","yhirano@chromium.org","QuicTransport tracking bug","Linux, Android, Windows, Chrome, Mac","4 days ago","Feature","Proj-Fugu, OriginTrial-84","24"
"1007151","1","80","","UI>Browser>WebAppInstalls","Fixed","ericwilligers@chromium.org","desktop-pwas: Support ""minimal-ui"" display mode","Linux, Windows, Chrome, Mac","May 3, 2020","Feature","Target-80, Proj-Fugu","8"
"994889","1","","88","UI>Browser>WebAppInstalls","Started","msw@chromium.org","Screen Enumeration API","Linux, Windows, Chrome, Mac","3 days ago","Feature","Hotlist-Partner-GSuite, Proj-Fugu, Proj-Fugu-UX, DevTrial-81, OriginTrial-85, M-88","25"
"982379","1","87","","Blink>Input>PointerLock","Started","jameshollyer@chromium.org","Pointer Lock Unadjusted Movement option","Linux, Windows, Chrome, Mac","18 days ago","Bug","Hotlist-Merge-Review, Proj-Fugu, merge-merged-3904, DevTrial-80, Target-87, OriginTrial-81, OriginTrialEnd-86","12"
"982054","1","","","Blink>Fonts","Started","oyiptong@chromium.org","Font Table Access API","Linux, Windows, Mac","17 days ago","Feature","OWP-Type-NewAPI, Proj-Fugu, DevTrial-83","13"
"973844","1","","84","Blink>ContentIndexing","Started","rayankans@chromium.org","Implement the Content Index API","Linux, Android, Windows, Chrome, Mac","Mar 31, 2020","Feature","Proj-Fugu, M-84, OriginTrial-80, OriginTrialEnd-83","9"
"955497","1","","85","UI>Browser>WebAppInstalls","Started","rahsin@microsoft.com","App Icon Shortcut menu for PWAs","Android, Windows","2 days ago","Feature","Proj-Fugu, Proj-Fugu-UX, msft-consider, DevTrial-84, M-85","29"
"937720","1","","81","UI>Browser>WebAppInstalls","Fixed","stevebe@microsoft.com","Allow the Badging API to be used from a service worker via Push","Android, Windows, Chrome, Mac","12 days ago","Feature","Proj-Fugu, M-81, Hotlist-WebAppInstalls-WebPlatformAPIs, Hotlist-WebAppInstalls","15"
"934063","1","","","Blink>ImageCapture","Started","rijubrata.bhaumik@intel.com","Ability to control connected camera pan / tilt / zoom","Linux, Windows, Chrome","7 hours ago","Feature","allpublic, Hotlist-Recharge-BouncingOwner, Proj-Fugu","25"
"925297","1","","80","Blink>BackgroundSync","Fixed","nator@chromium.org","Implement Periodic Background Sync","Linux, Android, Windows, Chrome, Mac","Jan 17, 2020","Feature","M-80, Proj-Fugu, OriginTrial-77","20"
"914488","1","","","Blink>Storage, Blink>Storage>NativeIO","Started","fivedots@chromium.org","Native IO (Low level storage API)","Linux, Android, Windows, Chrome, Mac, Fuchsia","11 days ago","Feature","Proj-Fugu, DevTrial-86","26"
"909927","1","","","","Assigned","nattestad@chromium.org","Native Sockets (parent bug) ","","5 days ago","Feature","Proj-Fugu, Proj-Fugu-UX","24"
"897314","1","","","UI>Browser>WebAppInstalls","Started","alancutter@chromium.org","Tabbed application mode for PWAs","Windows, Chrome, Mac","27 days ago","Feature","allpublic, Proj-Fugu, Proj-Fugu-UX, DevTrial-83","29"
"897302","1","","","UI>Browser>WebAppInstalls","Started","carlos.frias@microsoft.com","Run on OS login (a.k.a. ""run on startup"")","Linux, Windows, Chrome, Mac","6 days ago","Feature","Hotlist-Partner-GSuite, Proj-Fugu, Proj-Fugu-UX, Hotlist-WebAppInstalls-LaunchUI","30"
"897300","1","","88","Blink>WindowDialog, UI>Browser>WebAppInstalls","Started","msw@chromium.org","Window Placement API","Linux, Windows, Chrome, Mac","10 days ago","Feature","Hotlist-Partner-GSuite, Proj-Fugu, Proj-Fugu-UX, DevTrial-80, OriginTrial-85, M-88","35"
"897298","1","","80","","Fixed","ricea@chromium.org","Compression codecs","Linux, Android, Windows, Chrome, Mac, Fuchsia","Dec 10, 2019","Feature","M-80, Proj-Fugu, DevTrial-79","9"
